date,everest_wait_time,buzz_wait_time,aerosmith_wait_time,kilimanjaro_wait_time,soarin_wait_time,space_wait_time,spaceship_wait_time,toystory_wait_time,interest rate,Inflation,Unemployment,DIS Price
1/1/15,49.375,59.375,100,60.55555556,101.875,108.125,42.5,96.875,3.25,-0.23,5.7,$142.15 
2/1/15,42.5,32.5,45,45.5,62,53.33333333,11.36363636,67.72727273,3.25,-0.09,5.5,$170.19 
3/1/15,33.07692308,38.63636364,116.5384615,15,62.5,38.75,8.333333333,85.83333333,3.25,-0.02,5.4,$176.01 
5/1/15,30.90909091,30.45454545,39.16666667,20.90909091,70.83333333,56.36363636,8.636363636,56.15384615,3.25,0.04,5.6,$175.55 
6/1/15,31.66666667,48.33333333,56.66666667,19.58333333,64.58333333,89.5,17.30769231,85.83333333,3.25,0.18,5.3,$177.26 
7/1/15,37.91666667,38.46153846,46.66666667,25.41666667,71.25,53.33333333,7.5,68.84615385,3.25,0.23,5.2,$178.84 
9/1/15,13,15,17.5,10,35,30,5,70,3.25,0.01,5,$188.97 
10/1/15,23,10.55555556,26.875,12.77777778,43.33333333,11.11111111,6.666666667,69.5,3.25,0.13,5,$194.98 
11/1/15,27,33.75,76.66666667,30,67.22222222,49.375,14.44444444,76.11111111,3.25,0.44,5.1,$170.97 
12/1/15,19.44444444,32.77777778,31,12.22222222,63.75,26.66666667,6.25,65,3.5,0.64,5,$177.68 
1/1/16,52.77777778,51.11111111,101,50.55555556,91.875,87.22222222,21.875,110,3.5,1.24,4.8,$149.44 
6/1/16,36.11111111,52.22222222,75,28.88888889,87.77777778,53.75,15.55555556,63,3.5,1.08,4.9,$113.01 
7/1/16,27,32.77777778,55.55555556,20,39.44444444,62.77777778,10,90,3.5,0.87,4.8,$118.77 
8/1/16,45.71428571,49.16666667,47.77777778,10.71428571,45,115,14.375,63.33333333,3.5,1.06,4.9,$105.50 
9/1/16,15,20.55555556,33.33333333,10,22.77777778,28,5,45.55555556,3.5,1.55,5,$94.92 
10/1/16,35.83333333,45.83333333,55.625,25.71428571,55,96.66666667,20.71428571,45,3.5,1.69,4.9,$119.98 
